,SAMPLE_ID,SumOfLength.cm.,SumOfProjArea.cm2.,SumOfSurfArea.cm2.,SumOfAvgDiam.mm.,SumOfRootVolume.cm3.,STEM,COTS_TOTAL,LEAF_TOTAL,Total.Of.PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L.SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT,SPECIES,LOCATION_CODE,POP_CODE,SAMPLE_NUM,LETTER,COLOR,POP_ID,SLA,LW_Max_A,LW_Max_B,BW_Max,LW_Max_Sum,LDMC,SRL,RMR,RALAR
473,PAMU_AZNC_WMR_3_H1_B,7.3198,0.1998,0.6277,0.273,0.004,NA,NA,NA,0.0749,NA,0.0749,10-Aug,E7,B,,22-Aug,1,0.7,NA,2,0.0056,0.0021,2.00E-04,6.00E-05,NA,NA,NA,NA,0.0034,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,3,H1,B,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,146.396,0.892857143,0.727338915
474,PAMU_AZNC_WMR_3_H1_R,3.9199,0.1134,0.3564,0.2894,0.003,NA,NA,NA,0.0868,NA,0.0868,10-Aug,F5,R,,22-Aug,1,1,NA,2,0.0051,0.0035,0.008,1.00E-04,NA,NA,NA,NA,0.0019,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,3,H1,R,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,97.9975,0.8,0.566433566
478,PAMU_AZNC_WMR_8_H4_R,5248.7778,199.4091,626.4619,1.081,6.034,NA,NA,10.2002,10.2002,NA,NA,14-Aug,E6,R,5-Sep,6-Nov,4,NA,78,NA,NA,8.934,NA,NA,9.387,1.0764,NA,NA,8.3599,0.3743,0.2167,0.2176,0.0311,0.0644,0.0661,0.0105,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,8,H4,R,PAMU_AZNC_WMR,245.1971154,0.2176,0.0661,NA,0.2837,0.146633768,140.2291691,0.250820881,NA
481,PAMU_UTC_WR_1_H1_O,2.9982,0.0892,0.2802,0.2975,0.002,NA,NA,NA,0.0787,NA,0.0787,,F12,O,,10-Aug,1,1,1,2,0.0051,NA,0.002,3.00E-04,NA,NA,7.00E-04,NA,0.0028,4.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039,PAMU,UTC,WR,1,H1,O,PAMU_UTC_WR,NA,NA,NA,NA,NA,NA,666.2666667,0.130434783,0.531268612
482,PAMU_UTC_WR_13_H4_G,1627.9968,52.314,164.3493,0.3213,1.32,NA,NA,7.4984,7.4984,NA,NA,10-Aug,E8,G,22-Aug,6-Nov,4,7.5,17,NA,3.1119,1.4002,NA,NA,1.367,NA,0.3027,NA,1.537,0.0892,0.1455,0.089,0.0195,0.0914,0.1339,0.0115,NA,NA,NA,NA,NA,NA,0.00039,PAMU,UTC,WR,13,H4,G,PAMU_UTC_WR,241.883871,0.1455,0.1339,NA,0.2794,0.11095204,182.510852,0.742096506,NA
485,PAMU_UTC_WR_5_H1_G,5.2159,0.1235,0.388,0.2368,0.002,NA,NA,NA,0.3661,NA,0.3661,31-Jul,H9,G,10-Aug,10-Aug,1,1.8,1,2,0.0057,0.0031,0.0022,5.00E-04,NA,NA,7.00E-04,3.00E-04,0.0016,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039,PAMU,UTC,WR,5,H1,G,PAMU_UTC_WR,NA,NA,NA,NA,NA,NA,1043.18,0.058823529,0.252246732
492,PAMU_UTEC_MC_1_H1_G,3.1707,0.0955,0.3,0.3012,0.002,NA,NA,NA,0.0677,NA,0.0677,1-Aug,A2,G,,11-Aug,1,0.9,NA,2,0.0038,0.0026,0.0031,0.0019,NA,NA,0.0014,5.00E-04,0.0016,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,1,H1,G,PAMU_UTEC_MC,NA,NA,NA,NA,NA,NA,158.535,0.076923077,0.585171569
493,PAMU_UTEC_MC_1_H1_O,7.1323,0.2173,0.6828,0.3047,0.005,NA,NA,NA,0.1217,NA,0.1217,1-Aug,A7,O,,11-Aug,1,1.3,NA,2,0.0098,0.0054,0.0047,0.0021,NA,NA,0.0028,0.0017,0.0045,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,1,H1,O,PAMU_UTEC_MC,NA,NA,NA,NA,NA,NA,59.43583333,0.24,0.64100295
495,PAMU_UTEC_MC_10_H2_O,2.911,0.0964,0.3029,0.3312,0.003,NA,0.13,NA,0.13,NA,NA,3-Aug,B7,O,16-Aug,29-Aug,2,0.7,1,2,0.0074,0.0056,0.0032,0.00402,5.00E-04,1.00E-04,0.0022,NA,0.0013,0.000102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,10,H2,O,PAMU_UTEC_MC,NA,NA,NA,NA,NA,0.2,285.3921569,0.024159166,0.425795053
502,PAMU_UTEC_MC_4_H4_G,2423.0053,80.2841,252.22,0.6517,2.113,NA,NA,5.8934,5.8934,5.8934,NA,1-Aug,B1,G,,26-Oct,4,10.4,15,NA,5.1809,2.3323,NA,NA,2.3323,0.352,NA,NA,2.7587,0.1783,0.1561,0.1609,0.0233,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,4,H4,G,PAMU_UTEC_MC,252.9356223,0.1609,NA,NA,0.1609,0.144810441,135.894857,0.322073699,NA
505,PAMU_UTEC_MC_6_H2_O,11.8651,0.2536,0.7966,0.2137,0.004,NA,0.0894,NA,0.0894,NA,NA,1-Aug,C4,O,,25-Aug,2,0.9,NA,NA,0.008,0.0034,NA,NA,8.00E-04,0.00025,NA,NA,0.0045,0.00019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,6,H2,O,PAMU_UTEC_MC,NA,NA,NA,NA,NA,0.3125,624.4789474,0.431818182,0.739358601
506,PAMU_UTEC_MC_9_H1_G,5.7453,0.2084,0.6546,0.3627,0.006,NA,0.0899,NA,0.0899,NA,NA,3-Aug,A6,G,,14-Aug,1,0.9,NA,NA,0.0071,0.0031,0.0034,7.00E-04,NA,NA,0.002,5.00E-04,0.0031,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,9,H1,G,PAMU_UTEC_MC,NA,NA,NA,NA,NA,NA,63.83666667,0.428571429,0.698625545
507,PAMU_UTEC_MC_9_H1_O,9.2337,0.2578,0.8098,0.2791,0.006,NA,0.1056,NA,0.1056,NA,NA,3-Aug,A10,O,,14-Aug,1,1,NA,NA,0.0079,0.0064,0.002,7.00E-04,NA,NA,0.0028,8.00E-04,0.0019,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-04,PAMU,UTEC,MC,9,H1,O,PAMU_UTEC_MC,NA,NA,NA,NA,NA,NA,92.337,0.4,0.709411117
508,PAMU_UTSE_MO_1_H1_G,16.0166,0.4896,1.5383,0.6127,0.012,NA,0.1756,NA,0.1756,NA,NA,2-Aug,E1,G,,11-Aug,1,1.1,NA,2,0.0108,0.0058,0.0034,8.00E-04,NA,NA,0.0024,0.0011,0.0053,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005125,PAMU,UTSE,MO,1,H1,G,PAMU_UTSE_MO,NA,NA,NA,NA,NA,NA,106.7773333,0.441176471,0.736019242
509,PAMU_UTSE_MO_1_H1_O,0.7451,0.0279,0.0876,0.3742,0.001,NA,0.162,NA,0.162,NA,NA,2-Aug,E2,O,28-Aug,11-Aug,1,1.2,NA,2,0.009,0.0048,0.0039,0.0011,NA,NA,0.0019,7.00E-04,0.0044,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005125,PAMU,UTSE,MO,1,H1,O,PAMU_UTSE_MO,NA,NA,NA,NA,NA,NA,5.322142857,0.4375,0.146919431
510,PAMU_UTSE_MO_10_H4_G,3197.7888,109.9941,345.5566,0.7037,2.998,NA,NA,5.3331,5.3331,5.3331,NA,9-Aug,G10,G,28-Aug,11-Aug,4,10.2,36,NA,8.818,NA,NA,NA,4.714,0.5629,0.0387,NA,NA,0.1755,0.1607,0.1609,0.0215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005125,PAMU,UTSE,MO,10,H4,G,PAMU_UTSE_MO,248.0511628,0.1609,NA,NA,0.1609,0.133623369,182.210188,0.230951441,NA
511,PAMU_UTSE_MO_2_H4_G,1351.9229,44.4585,139.6706,0.3289,1.148,NA,NA,3.6907,3.6907,3.6907,NA,2-Aug,E5,G,16-Aug,26-Oct,4,9.2,30,NA,3.728,2.0084,NA,NA,2.0084,0.2695,NA,NA,1.5106,0.0962,0.1233,0.1237,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005125,PAMU,UTSE,MO,2,H4,G,PAMU_UTSE_MO,210.8971429,0.1237,NA,NA,0.1237,0.141471302,140.532526,0.251043841,NA
518,PAMU_UTSW_CP_1_H1_G,3.7203,0.0731,0.2295,0.1964,0.001,NA,0.0476,NA,0.0729,NA,0.0253,27-Jul,A9,G,7-Aug,7-Aug,1,1.2,1,2,0.0031,0.0022,0.0016,0.000136,NA,NA,0.0012,5.00E-04,0.001,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003975,PAMU,UTSW,CP,1,H1,G,PAMU_UTSW_CP,NA,NA,NA,NA,NA,NA,372.03,0.135869565,0.500684932
519,PAMU_UTSW_CP_1_H1_O,3.1503,0.0664,0.2087,0.2109,0.001,NA,NA,NA,0.0969,NA,0.0969,,,O,,7-Aug,1,1.2,NA,2,0.0053,0.0037,NA,5.00E-05,NA,NA,0.0017,NA,0.0014,9.80E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003975,PAMU,UTSW,CP,1,H1,O,PAMU_UTSW_CP,NA,NA,NA,NA,NA,NA,321.4591837,0.662162162,0.406613595
522,PAMU_UTSW_CP_2_H4_O,3666.4446,130.3708,409.5719,0.667,3.695,NA,NA,6.8977,6.8977,6.8977,NA,27-Jul,B9,O,7-Aug,19-Oct,4,9.9,1,25,8.6002,3.9621,0.0086,0.0011,3.9078,0.7352,0.1252,0.026,4.3901,0.3828,0.2596,0.2622,0.0533,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003975,PAMU,UTSW,CP,2,H4,O,PAMU_UTSW_CP,129.412758,0.2622,NA,NA,0.2622,0.203279939,95.7796395,0.319425901,NA
526,PAMU_UTSW_CP_5_H1_G,4.1802,0.1046,0.3286,0.2502,0.002,NA,0.0546,NA,0.0546,NA,NA,1-Aug,A6,G,,11-Aug,1,0.8,NA,2,0.003,0.0017,0.0038,8.00E-04,NA,NA,0.0016,0.0016,0.0013,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003975,PAMU,UTSW,CP,5,H1,G,PAMU_UTSW_CP,NA,NA,NA,NA,NA,NA,418.02,0.04,0.657035176
527,PAMU_UTSW_CP_5_H1_O,7.8338,0.2074,0.6517,0.2648,0.004,NA,0.1408,NA,0.1408,NA,NA,1-Aug,C5,O,,11-Aug,1,1.3,NA,2,0.0084,0.0046,0.002,8.00E-04,NA,NA,0.0015,NA,0.0026,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003975,PAMU,UTSW,CP,5,H1,O,PAMU_UTSW_CP,NA,NA,NA,NA,NA,NA,391.69,0.2,0.595634693
533,PLPA_AZC_TC_19_H4_G,NA,NA,NA,NA,NA,NA,NA,2.4519,2.4519,NA,NA,2-Oct,F2,G,9-Oct,26-Dec,4,15.5,120,NA,NA,5.5911,NA,NA,5.5911,0.9694,NA,NA,NA,NA,0.0346,0.0356,0.0039,0.025,0.0277,0.0028,NA,NA,NA,NA,NA,Still need roots data (roots not cleaned yet 1/8/18),0.00162,PLPA,AZC,TC,19,H4,G,PLPA_AZC_TC,365.9552239,0.0356,0.0277,NA,0.0633,0.105845182,NA,NA,NA
535,PLPA_AZC_TC_2_H1_O,26.8576,0.8731,2.7429,0.3251,0.022,NA,NA,NA,0.5296,NA,0.5296,15-Aug,A9,O,23-Aug,25-Aug,1,3.5,2,2,0.0232,0.0098,NA,NA,NA,0.0011,NA,NA,0.0124,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.00162,PLPA,AZC,TC,2,H1,O,PLPA_AZC_TC,481.4545455,NA,NA,NA,NA,NA,268.576,0.476190476,0.622442432
540,PLPA_AZC_TC_6_H4_G,11311.7841,267.6954,840.9898,1.206,5.059,NA,NA,30.9625,30.9625,NA,NA,15-Aug,B11,G,23-Aug,8-Nov,4,15.8,NA,NA,17.116,10.0125,NA,NA,10.1236,1.2496,NA,NA,4.4409,0.427,0.1063,0.1097,0.0145,0.0788,0.084,0.0095,NA,NA,NA,NA,NA,,0.00162,PLPA,AZC,TC,6,H4,G,PLPA_AZC_TC,1290.104167,0.1097,0.084,NA,0.1937,0.123902943,264.9129766,0.251087851,NA
543,PLPA_AZC_TC_9_H4_O,4152.4147,100.8568,316.8511,0.2429,1.924,NA,NA,29.6336,29.6336,NA,NA,15-Aug,D7,O,23-Aug,7-Nov,4,14.6,102,NA,7.2985,4.8547,NA,NA,4.7661,0.551,NA,NA,NA,0.1069,0.1007,0.096,0.0141,0.0521,0.0528,0.0059,NA,NA,NA,NA,NA,,0.00162,PLPA,AZC,TC,9,H4,O,PLPA_AZC_TC,1481.68,0.1007,0.0528,NA,0.1535,0.13029316,388.4391674,0.157692875,NA
548,PLPA_AZNE_HB_15_H4_B,2263.4501,40.7121,127.9008,0.1799,0.575,NA,NA,5.1916,5.1916,5.1916,NA,16-Aug,C7,B,23-Aug,9-Nov,4,6,NA,NA,3.084,1.8816,NA,NA,1.3393,0.3119,NA,NA,0.674,0.0597,0.0279,0.0293,0.0044,NA,NA,NA,NA,NA,NA,NA,NA,,0.0010675,PLPA,AZNE,HB,15,H4,B,PLPA_AZNE_HB,1179.909091,0.0293,NA,NA,0.0293,0.150170648,379.1373702,0.158776596,NA
561,PLPA_COSW_UP_16_H4_R,4721.257,95.5909,300.3077,0.4322,1.531,NA,NA,11.5726,11.5726,NA,NA,16-Aug,D5,R,23-Aug,14-Nov,4,7.1,230,NA,5.5943,3.9332,NA,NA,3.5575,0.5645,NA,NA,1.314,0.1057,0.0278,0.0289,0.0047,0.0426,0.0444,0.0072,NA,NA,NA,NA,NA,,0.001145,PLPA,COSW,UP,16,H4,R,PLPA_COSW_UP,972.487395,0.0289,0.0444,NA,0.0733,0.162346521,446.6657521,0.154962615,NA
562,PLPA_COSW_UP_17_H4_B,NA,NA,NA,NA,NA,NA,NA,7.6742,7.6742,NA,NA,16-Aug,D7,B,23-Aug,13-Nov,4,7,174,NA,4.4554,3.5514,NA,NA,3.7009,0.5215,NA,NA,0.835,0.0964,0.0162,0.018,0.0032,0.0157,0.0178,0.0026,NA,NA,NA,NA,NA,,0.001145,PLPA,COSW,UP,17,H4,B,PLPA_COSW_UP,1323.137931,0.018,0.0178,NA,0.0358,0.162011173,NA,0.154561488,NA
566,PLPA_COSW_UP_6_H2_B,52.3357,1.5828,4.9724,0.6051,0.038,NA,0.2175,NA,0.2175,NA,NA,16-Aug,B1,B,23-Aug,11-Sep,2,5.7,7,2,0.1173,0.0998,NA,NA,0.1144,0.0087,NA,NA,0.0096,7.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.001145,PLPA,COSW,UP,6,H2,B,PLPA_COSW_UP,NA,NA,NA,NA,NA,0.076048951,747.6528571,0.074468085,0.879186802
568,PLPA_COSW_UP_8_H4_R,1661.7736,32.2591,101.345,0.1941,0.492,NA,NA,8.2225,8.2225,NA,NA,16-Aug,B7,R,23-Aug,9-Nov,4,5.9,122,NA,NA,2.352,NA,NA,2.441,0.4704,NA,NA,0.3976,0.0658,0.0257,0.0277,0.0048,0.0213,0.0099,0.0041,NA,NA,NA,NA,NA,,0.001145,PLPA,COSW,UP,8,H4,R,PLPA_COSW_UP,923.8764045,0.0277,0.0213,NA,0.049,0.181632653,252.5491793,0.120711796,NA
576,PLPA_UTNE_BWR_12_H4_B,NA,NA,NA,NA,NA,NA,NA,7.1362,7.1362,NA,NA,28-Sep,G1,B,3-Oct,27-Dec,4,4.5,21,NA,NA,0.2096,NA,NA,NA,0.0324,NA,NA,NA,NA,0.0123,0.0128,0.0021,0.0086,0.0096,6.00E-04,NA,NA,NA,NA,NA,"Late H4 (6 days); Still need roots data (roots not cleaned yet 1/8/18); A - big, B - small",0.0010075,PLPA,UTNE,BWR,12,H4,B,PLPA_UTNE_BWR,2643.037037,0.0128,0.0096,NA,0.0224,0.120535714,NA,NA,NA
580,PLPA_UTNE_BWR_4_H3_R,42.2389,1.1818,3.7127,0.2798,0.026,NA,NA,NA,8.1771,NA,8.1771,16-Aug,B10,R,23-Aug,27-Sep,3,4.4,13,NA,0.2512,0.168,NA,NA,NA,0.0195,NA,NA,0.0074,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0010075,PLPA,UTNE,BWR,4,H3,R,PLPA_UTNE_BWR,419.3384615,NA,NA,NA,NA,NA,351.9908333,0.057971014,0.126275524
581,PLPA_UTNE_BWR_5_H4_R,1573.6552,28.9907,91.0772,0.3709,0.42,NA,NA,12.6006,12.6006,NA,NA,16-Aug,C2,R,23-Aug,13-Nov,4,6.6,53,NA,1.7848,1.3597,NA,NA,1.3438,0.2009,NA,NA,0.37,0.0314,0.0171,0.0222,0.0031,0.0304,0.0388,0.0049,NA,NA,NA,NA,NA,,0.0010075,PLPA,UTNE,BWR,5,H4,R,PLPA_UTNE_BWR,1575.075,0.0222,0.0388,NA,0.061,0.131147541,501.1640764,0.130669996,NA
582,PLPA_UTNE_BWR_6_H4_B,4443.1067,91.8584,288.5818,0.4134,1.492,NA,NA,14.3941,14.3941,NA,NA,16-Aug,C6,B,23-Aug,16-Nov,4,7.1,71,NA,4.2067,2.4558,NA,NA,2.4739,0.4715,NA,NA,1.2095,0.1244,0.0356,0.0389,0.0068,0.0448,0.0462,0.008,NA,NA,NA,NA,NA,Late H4 (8 days),0.0010075,PLPA,UTNE,BWR,6,H4,B,PLPA_UTNE_BWR,972.5743243,0.0389,0.0462,NA,0.0851,0.173913043,357.162918,0.203700671,NA
587,PLPA_UTSC_BTR_17_H4_B,625.2467,10.9963,34.5459,0.1759,0.152,NA,NA,11.4241,11.4241,NA,NA,4-Oct,H6,B,8-Oct,27-Dec,4,4.8,26,NA,NA,0.4064,NA,NA,NA,0.0632,NA,NA,NA,NA,0.0132,0.0141,0.0024,0.0122,0.013,0.0023,NA,NA,NA,NA,NA,"Still need roots data (roots not cleaned yet 1/8/18); A - big, B - small",0.000875,PLPA,UTSC,BTR,17,H4,B,PLPA_UTSC_BTR,2430.659574,0.0141,0.013,NA,0.0271,0.173431734,NA,NA,NA
591,PLPA_UTSC_BTR_3_H4_R,7637.4189,146.7588,461.0565,0.3794,2.233,NA,NA,1.4111,1.4111,NA,NA,16-Aug,A7,R,23-Aug,14-Nov,4,8.4,170,NA,NA,5.528,NA,NA,5.6875,0.8391,NA,NA,1.7601,0.1473,0.0138,0.0146,0.0024,0.0117,0.0121,0.0022,NA,NA,NA,NA,NA,,0.000875,PLPA,UTSC,BTR,3,H4,R,PLPA_UTSC_BTR,306.7608696,0.0146,0.0121,NA,0.0267,0.172284644,518.4941548,0.14863774,NA
598,PLPA_UTSW_HR_1_H1_R,8.5203,0.2429,0.7632,0.2851,0.005,NA,NA,NA,0.24,NA,0.24,16-Aug,A2,R,23-Aug,25-Aug,1,1.6,2,2,0.0065,0.0036,NA,NA,0.0049,NA,NA,NA,0.0024,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seed still attached,0.000715,PLPA,UTSW,HR,1,H1,R,PLPA_UTSW_HR,NA,NA,NA,NA,NA,NA,284.01,1,0.503002692
600,PLPA_UTSW_HR_11_H4_B,393.138,6.6864,21.0061,0.1701,0.089,NA,NA,6.1592,6.1592,NA,NA,28-Sep,G10,B,3-Oct,28-Dec,4,3.6,24,NA,NA,0.2724,NA,NA,0.2724,0.0413,NA,NA,NA,NA,0.0077,0.0094,9.00E-04,0.0056,0.0016,0.001,NA,NA,NA,NA,NA,"Still need roots data (roots not cleaned yet 1/8/18); A - big, B - small; Above-ground B did not successfully resaturate",0.000715,PLPA,UTSW,HR,11,H4,B,PLPA_UTSW_HR,3241.684211,0.0094,0.0056,NA,0.015,0.126666667,NA,NA,NA
605,PLPA_UTSW_HR_4_H4_B,341.0892,9.1113,28.6239,0.2671,0.191,NA,NA,7.3298,7.3298,NA,NA,28-Sep,G3,B,3-Oct,20-Dec,4,4,20,NA,0.2721,0.1971,NA,NA,0.1065,0.027,NA,NA,0.0678,0.0068,0.0071,0.0071,7.00E-04,0.0118,0.0119,0.0019,NA,NA,NA,NA,NA,,0.000715,PLPA,UTSW,HR,4,H4,B,PLPA_UTSW_HR,2819.153846,0.0071,0.0119,NA,0.019,0.136842105,501.6017647,0.186813187,NA
609,PLPA_UTSW_HR_8_H4_B,185.9915,3.7425,11.7573,0.2012,0.059,NA,NA,5.3846,5.3846,NA,NA,28-Sep,G9,B,3-Oct,20-Dec,4,2.7,21,NA,0.1406,0.1025,NA,NA,0.0892,0.146,NA,NA,0.0464,0.0038,0.0068,0.0068,0.001,0.0056,0.006,9.00E-04,NA,NA,NA,NA,NA,,0.000715,PLPA,UTSW,HR,8,H4,B,PLPA_UTSW_HR,2834,0.0068,0.006,NA,0.0128,0.1484375,489.4513158,0.02504944,NA
617,VUOC_AZSW_WB_13_H4_B,26400.6881,835.8795,2625.993,1.5787,20.821,NA,NA,1.6562,24.929,NA,NA,16-Aug,D12,B,NA,7-Nov,4,41.4,NA,NA,24.8166,17.671,NA,NA,NA,3.3602,NA,NA,4.8309,0.5435,0.0069,0.0063,0.0012,0.0047,0.0046,9.00E-04,NA,NA,NA,NA,NA,"Infloresence weight fresh = 0.4767, saturated = 0.4908, dry = 0.1070",0.00055,VUOC,AZSW,WB,13,H4,B,VUOC_AZSW_WB,788.6666667,0.0069,0.0047,NA,0.0116,0.181034483,485.7532309,0.13915203,NA
618,VUOC_AZSW_WB_3_H4_B,42469.0595,1432.699,4500.9569,3.3436,38.179,NA,NA,2.6426,2.6426,NA,NA,16-Aug,B1,B,NA,16-Nov,4,43.2,NA,NA,NA,11.4253,NA,NA,NA,3.5182,NA,NA,6.8911,1.0971,0.0217,0.028,0.0063,0.0084,0.0107,0.0023,NA,NA,NA,NA,NA,"Late H4 (8 days); infloresence fresh weight = 4.0593, infl dry weight = 1.3087; infloresence NOT INCLUDED in L+S WF; infloresence sample weight fresh = 0.2699, saturated = 0.3185, dry = 0.0858",0.00055,VUOC,AZSW,WB,3,H4,B,VUOC_AZSW_WB,307.2790698,0.028,0.0107,NA,0.0387,0.222222222,387.1029031,0.237267242,NA
622,VUOC_AZSW_WB_6_H4_B,31012.2147,1171.8653,3681.5234,1.8847,34.821,NA,NA,5.0277,16.0054,NA,NA,16-Aug,B12,B,NA,10-Nov,4,31.5,NA,NA,NA,12.6217,NA,NA,NA,2.1333,0.4722,0.1125,5.7004,0.7018,0.0209,0.0209,0.0032,0.0123,0.0122,0.0025,NA,NA,NA,NA,NA,"Stem weight is for STUMP weights; infloresence fresh weight = 1.8515, infl dry weight = 0.4999; infloresence INCLUDED in L+S FW; infl sample weight fresh = 0.3387, saturated = 0.3137, dry = 0.0925",0.00055,VUOC,AZSW,WB,6,H4,B,VUOC_AZSW_WB,882.0526316,0.0209,0.0123,NA,0.0332,0.171686747,441.8953363,0.237632479,NA
631,VUOC_UTC_GRC_3_H4_O,33640.5167,621.3932,1952.1641,1.849,9.037,NA,NA,4.3265,4.3265,NA,NA,18-Aug,B10,O,NA,20-Nov,4,NA,NA,NA,NA,2.182,NA,NA,0.5191,0.5191,NA,NA,0.9733,0.2079,0.0695,0.0669,0.0175,0.0186,0.0178,0.0047,NA,NA,NA,NA,NA,,0.0003575,VUOC,UTC,GRC,3,H4,O,VUOC_UTC_GRC,194.8873874,0.0695,0.0186,NA,0.0881,0.251986379,1618.110471,0.277495996,NA
634,VUOC_UTC_GRC_7_H1_B,9.958,0.1737,0.5458,0.1745,0.002,NA,NA,NA,0.1622,NA,0.1622,6-Oct,G3,B,NA,16-Oct,1,2.6,1,NA,0.0013,9.00E-04,NA,NA,NA,1.00E-04,NA,NA,0.0014,0.0001659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003575,VUOC,UTC,GRC,7,H1,B,VUOC_UTC_GRC,1622,NA,NA,NA,NA,NA,600.2411091,0.623918766,0.51711819
635,VUOC_UTC_GRC_7_H1_R,7.3115,0.136,0.4271,0.186,0.002,NA,NA,NA,0.1669,NA,0.1669,6-Oct,G5,R,NA,16-Oct,1,3.1,1,NA,0.001,9.00E-04,NA,NA,NA,0.0001144,NA,NA,8.00E-04,0.0001638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003575,VUOC,UTC,GRC,7,H1,R,VUOC_UTC_GRC,1458.916084,NA,NA,NA,NA,NA,446.3675214,0.588785047,0.448993067
640,VUOC_UTSE_IM_10_H4_B,NA,NA,NA,NA,NA,NA,NA,1.7184,23.8287,NA,22.1103,2-Oct,E6,B,NA,27-Dec,4,9.1,NA,NA,NA,NA,NA,NA,0.4025,0.0771,NA,NA,NA,NA,0.0088,0.0086,9.00E-04,0.0017,0.0017,NA,NA,NA,NA,NA,NA,Still need roots data (roots not cleaned yet 1/12/18); Lost small leaf before dry weight,0.00051,VUOC,UTSE,IM,10,H4,B,VUOC_UTSE_IM,1909.333333,0.0088,0.0017,NA,0.0105,0.085714286,NA,NA,NA
648,VUOC_UTSE_IM_6_H4_R,50509.9702,1487.5989,4673.4295,2.9194,34.525,NA,NA,3.9188,3.9188,NA,NA,17-Aug,C6,R,NA,20-Nov,4,40.5,NA,NA,NA,10.714,NA,NA,NA,2.8258,0.4822,NA,5.1131,1.0618,0.0285,0.0268,0.0078,0.0093,0.0093,0.0024,NA,NA,NA,NA,NA,Late H4 (10 days); Stem weight is for STUMP; height is WITH infloresence; height W/O infloresence = 32.5; Flowering date 11/9; infloresence weight fresh = 0.2215,0.00051,VUOC,UTSE,IM,6,H4,R,VUOC_UTSE_IM,384.1960784,0.0285,0.0093,NA,0.0378,0.26984127,475.7013581,0.272410077,NA
649,VUOC_UTSE_IM_7_H4_B,13404.4973,481.0078,1511.1308,0.6881,13.958,NA,NA,2.2133,2.2133,NA,NA,17-Aug,C9,B,NA,9-Nov,4,19.9,NA,NA,12.7303,7.9774,NA,NA,7.9834,1.5209,0.3425,NA,1.9032,0.3419,0.0144,0.0132,0.0028,0.0078,0.0045,0.0017,NA,NA,NA,NA,NA,Stem weight is for STUMP,0.00051,VUOC,UTSE,IM,7,H4,B,VUOC_UTSE_IM,491.8444444,0.0144,0.0078,NA,0.0222,0.202702703,392.0590026,0.183098592,NA
